,name,description,type,importance,category
0,LotFrontage, Linear feet of street connected to property,numeric,,size
1,LotArea, Lot size in square feet,numeric,,size
2,Street, Type of road access to property,category,,property
3,LotShape, General shape of property,category,,property
4,Utilities, Type of utilities available,category,,utilities
5,LandSlope, Slope of property,category,,property
6,OverallQual, Rates the overall material and finish of the house,category,,quality
7,OverallCond, Rates the overall condition of the house,category,,quality
8,YearBuilt, Original construction date,numeric,,dates
9,YearRemodAdd, Remodel date (same as construction date if no remodeling or additions),numeric,,dates
10,MasVnrArea, Masonry veneer area in square feet,numeric,,quality
11,ExterQual, Evaluates the quality of the material on the exterior,category,,quality
12,ExterCond, Evaluates the present condition of the material on the exterior,category,,quality
13,BsmtQual, Evaluates the height of the basement,category,,basement
14,BsmtExposure, Refers to walkout or garden level walls,category,,other
15,BsmtFinType1, Rating of basement finished area,category,,basement
16,BsmtFinSF1, Type 1 finished square feet,numeric,,basement
17,BsmtFinType2, Rating of basement finished area (if multiple types),category,,basement
18,BsmtFinSF2, Type 2 finished square feet,numeric,,basement
19,BsmtUnfSF, Unfinished square feet of basement area,numeric,,basement
20,TotalBsmtSF, Total square feet of basement area,numeric,,basement
21,HeatingQC, Heating quality and condition,category,,utilities
22,1stFlrSF, First Floor square feet,numeric,,size
23,2ndFlrSF, Second floor square feet,numeric,,size
24,LowQualFinSF, Low quality finished square feet (all floors),numeric,,quality
25,GrLivArea, Above grade (ground) living area square feet,numeric,,size
26,BsmtFullBath, Basement full bathrooms,numeric,,basement
27,BsmtHalfBath, Basement half bathrooms,numeric,,basement
28,FullBath, Full bathrooms above grade,numeric,,size
29,HalfBath, Half baths above grade,numeric,,size
30,BedroomAbvGr, Bedrooms above grade (does NOT include basement bedrooms),numeric,,size
31,KitchenAbvGr, Kitchens above grade,numeric,,size
32,KitchenQual, Kitchen quality,category,,quality
33,TotRmsAbvGrd, Total rooms above grade (does not include bathrooms),numeric,,size
34,Functional, Home functionality (Assume typical unless deductions are warranted),category,,other
35,Fireplaces, Number of fireplaces,numeric,,other
36,FireplaceQu, Fireplace quality,category,,other
37,GarageYrBlt, Year garage was built,numeric,,garage
38,GarageCars, Size of garage in car capacity,numeric,,garage
39,GarageArea, Size of garage in square feet,numeric,,garage
40,GarageQual, Garage quality,category,,garage
41,GarageCond, Garage condition,category,,garage
42,PavedDrive, Paved driveway,category,,garage
43,WoodDeckSF, Wood deck area in square feet,numeric,,outdoor
44,OpenPorchSF, Open porch area in square feet,numeric,,outdoor
45,EnclosedPorch, Enclosed porch area in square feet,numeric,,outdoor
46,3SsnPorch, Three season porch area in square feet,numeric,,outdoor
47,ScreenPorch, Screen porch area in square feet,numeric,,outdoor
