name,description,category,type
LotFrontage, Linear feet of street connected to property,size,numeric
LotArea, Lot size in square feet,size,numeric
Street, Type of road access to property,property,category
LotShape, General shape of property,property,category
Utilities, Type of utilities available,utilities,category
LandSlope, Slope of property,property,category
OverallQual, Rates the overall material and finish of the house,quality,category
OverallCond, Rates the overall condition of the house,quality,category
YearBuilt, Original construction date,dates,numeric
YearRemodAdd, Remodel date (same as construction date if no remodeling or additions),dates,numeric
MasVnrArea, Masonry veneer area in square feet,quality,numeric
ExterQual, Evaluates the quality of the material on the exterior,quality,category
ExterCond, Evaluates the present condition of the material on the exterior,quality,category
BsmtQual, Evaluates the height of the basement,basement,category
BsmtExposure, Refers to walkout or garden level walls,other,category
BsmtFinType1, Rating of basement finished area,basement,category
BsmtFinSF1, Type 1 finished square feet,basement,numeric
BsmtFinType2, Rating of basement finished area (if multiple types),basement,category
BsmtFinSF2, Type 2 finished square feet,basement,numeric
BsmtUnfSF, Unfinished square feet of basement area,basement,numeric
TotalBsmtSF, Total square feet of basement area,basement,numeric
HeatingQC, Heating quality and condition,utilities,category
1stFlrSF, First Floor square feet,size,numeric
2ndFlrSF, Second floor square feet,size,numeric
LowQualFinSF, Low quality finished square feet (all floors),quality,numeric
GrLivArea, Above grade (ground) living area square feet,size,numeric
BsmtFullBath, Basement full bathrooms,basement,numeric
BsmtHalfBath, Basement half bathrooms,basement,numeric
FullBath, Full bathrooms above grade,size,numeric
HalfBath, Half baths above grade,size,numeric
BedroomAbvGr, Bedrooms above grade (does NOT include basement bedrooms),size,numeric
KitchenAbvGr, Kitchens above grade,size,numeric
KitchenQual, Kitchen quality,quality,category
TotRmsAbvGrd, Total rooms above grade (does not include bathrooms),size,numeric
Functional, Home functionality (Assume typical unless deductions are warranted),other,category
Fireplaces, Number of fireplaces,other,numeric
FireplaceQu, Fireplace quality,other,category
GarageYrBlt, Year garage was built,garage,numeric
GarageCars, Size of garage in car capacity,garage,numeric
GarageArea, Size of garage in square feet,garage,numeric
GarageQual, Garage quality,garage,category
GarageCond, Garage condition,garage,category
PavedDrive, Paved driveway,garage,category
WoodDeckSF, Wood deck area in square feet,outdoor,numeric
OpenPorchSF, Open porch area in square feet,outdoor,numeric
EnclosedPorch, Enclosed porch area in square feet,outdoor,numeric
3SsnPorch, Three season porch area in square feet,outdoor,numeric
ScreenPorch, Screen porch area in square feet,outdoor,numeric
PoolArea, Pool area in square feet,outdoor,numeric
PoolQC, Pool quality,outdoor,category
MiscVal, $Value of miscellaneous feature,other,category
YrSold, Year Sold (YYYY),dates,numeric
MSSubClass_SC120,Type of dwelling involved in the sale. (1-STORY PUD (Planned Unit Development) - 1946 & NEWER),general,binary
MSSubClass_SC160,Type of dwelling involved in the sale. (2-STORY PUD - 1946 & NEWER),general,binary
MSSubClass_SC180,Type of dwelling involved in the sale. (PUD - MULTILEVEL - INCL SPLIT LEV/FOYER),general,binary
MSSubClass_SC190,Type of dwelling involved in the sale. (2 FAMILY CONVERSION - ALL STYLES AND AGES),general,binary
MSSubClass_SC20,Type of dwelling involved in the sale. (1-STORY 1946 & NEWER ALL STYLES),general,binary
MSSubClass_SC30,Type of dwelling involved in the sale. (1-STORY 1945 & OLDER),general,binary
MSSubClass_SC40,Type of dwelling involved in the sale. (1-STORY W/FINISHED ATTIC ALL AGES),general,binary
MSSubClass_SC45,Type of dwelling involved in the sale. (1-1/2 STORY - UNFINISHED ALL AGES),general,binary
MSSubClass_SC50,Type of dwelling involved in the sale. (1-1/2 STORY FINISHED ALL AGES),general,binary
MSSubClass_SC60,Type of dwelling involved in the sale. (2-STORY 1946 & NEWER),general,binary
MSSubClass_SC70,Type of dwelling involved in the sale. (2-STORY 1945 & OLDER),general,binary
MSSubClass_SC75,Type of dwelling involved in the sale. (2-1/2 STORY ALL AGES),general,binary
MSSubClass_SC80,Type of dwelling involved in the sale. (SPLIT OR MULTI-LEVEL),general,binary
MSSubClass_SC85,Type of dwelling involved in the sale. (SPLIT FOYER),general,binary
MSSubClass_SC90,Type of dwelling involved in the sale. (DUPLEX - ALL STYLES AND AGES),general,binary
MSZoning_C (all),General zoning classification of the sale. (C (all)),general,binary
MSZoning_FV,General zoning classification of the sale. (Floating Village Residential),general,binary
MSZoning_RH,General zoning classification of the sale. (Residential High Density),general,binary
MSZoning_RL,General zoning classification of the sale. (Residential Low Density),general,binary
MSZoning_RM,General zoning classification of the sale. (Residential Medium Density),general,binary
Alley_1, Type of alley access to property (1),property,binary
Alley_2, Type of alley access to property (2),property,binary
Alley_None, Type of alley access to property (None),property,binary
LandContour_Bnk, Flatness of the property (Banked - Quick and significant rise from street grade to building),property,binary
LandContour_HLS, Flatness of the property (Hillside - Significant slope from side to side),property,binary
LandContour_Low, Flatness of the property (Depression),property,binary
LandContour_Lvl, Flatness of the property (Near Flat/Level),property,binary
LotConfig_Corner, Lot configuration (Corner lot),property,binary
LotConfig_CulDSac, Lot configuration (Cul-de-sac),property,binary
LotConfig_FR2, Lot configuration (Frontage on 2 sides of property),property,binary
LotConfig_FR3, Lot configuration (Frontage on 3 sides of property),property,binary
LotConfig_Inside, Lot configuration (Inside lot),property,binary
Neighborhood_Blmngtn, Physical locations within Ames city limits (Bloomington Heights),location,binary
Neighborhood_Blueste, Physical locations within Ames city limits (Bluestem),location,binary
Neighborhood_BrDale, Physical locations within Ames city limits (Briardale),location,binary
Neighborhood_BrkSide, Physical locations within Ames city limits (Brookside),location,binary
Neighborhood_ClearCr, Physical locations within Ames city limits (Clear Creek),location,binary
Neighborhood_CollgCr, Physical locations within Ames city limits (College Creek),location,binary
Neighborhood_Crawfor, Physical locations within Ames city limits (Crawford),location,binary
Neighborhood_Edwards, Physical locations within Ames city limits (Edwards),location,binary
Neighborhood_Gilbert, Physical locations within Ames city limits (Gilbert),location,binary
Neighborhood_IDOTRR, Physical locations within Ames city limits (Iowa DOT and Rail Road),location,binary
Neighborhood_MeadowV, Physical locations within Ames city limits (Meadow Village),location,binary
Neighborhood_Mitchel, Physical locations within Ames city limits (Mitchell),location,binary
Neighborhood_NAmes, Physical locations within Ames city limits (North Ames),location,binary
Neighborhood_NPkVill, Physical locations within Ames city limits (Northpark Villa),location,binary
Neighborhood_NWAmes, Physical locations within Ames city limits (Northwest Ames),location,binary
Neighborhood_NoRidge, Physical locations within Ames city limits (Northridge),location,binary
Neighborhood_NridgHt, Physical locations within Ames city limits (Northridge Heights),location,binary
Neighborhood_OldTown, Physical locations within Ames city limits (Old Town),location,binary
Neighborhood_SWISU, Physical locations within Ames city limits (South & West of Iowa State University),location,binary
Neighborhood_Sawyer, Physical locations within Ames city limits (Sawyer),location,binary
Neighborhood_SawyerW, Physical locations within Ames city limits (Sawyer West),location,binary
Neighborhood_Somerst, Physical locations within Ames city limits (Somerset),location,binary
Neighborhood_StoneBr, Physical locations within Ames city limits (Stone Brook),location,binary
Neighborhood_Timber, Physical locations within Ames city limits (Timberland),location,binary
Neighborhood_Veenker, Physical locations within Ames city limits (Veenker),location,binary
Condition1_Artery, Proximity to various conditions (Adjacent to arterial street),location,binary
Condition1_Feedr, Proximity to various conditions (Adjacent to feeder street),location,binary
Condition1_Norm, Proximity to various conditions (Normal),location,binary
Condition1_PosA, Proximity to various conditions (Adjacent to postive off-site feature),location,binary
Condition1_PosN," Proximity to various conditions (Near positive off-site feature--park, greenbelt, etc.)",location,binary
Condition1_RRAe, Proximity to various conditions (Adjacent to East-West Railroad),location,binary
Condition1_RRAn, Proximity to various conditions (Adjacent to North-South Railroad),location,binary
Condition1_RRNe, Proximity to various conditions (Within 200' of East-West Railroad),location,binary
Condition1_RRNn, Proximity to various conditions (Within 200' of North-South Railroad),location,binary
Condition2_Artery, Proximity to various conditions (if more than one is present) (Adjacent to arterial street),location,binary
Condition2_Feedr, Proximity to various conditions (if more than one is present) (Adjacent to feeder street),location,binary
Condition2_Norm, Proximity to various conditions (if more than one is present) (Normal),location,binary
Condition2_PosA, Proximity to various conditions (if more than one is present) (Adjacent to postive off-site feature),location,binary
Condition2_PosN," Proximity to various conditions (if more than one is present) (Near positive off-site feature--park, greenbelt, etc.)",location,binary
Condition2_RRAe, Proximity to various conditions (if more than one is present) (Adjacent to East-West Railroad),location,binary
Condition2_RRAn, Proximity to various conditions (if more than one is present) (Adjacent to North-South Railroad),location,binary
Condition2_RRNn, Proximity to various conditions (if more than one is present) (Within 200' of North-South Railroad),location,binary
BldgType_1Fam, Type of dwelling (Single-family Detached),general,binary
BldgType_2fmCon, Type of dwelling (2fmCon),general,binary
BldgType_Duplex, Type of dwelling (Duplex),general,binary
BldgType_Twnhs, Type of dwelling (Twnhs),general,binary
BldgType_TwnhsE, Type of dwelling (Townhouse End Unit),general,binary
HouseStyle_15Fin, Style of dwelling (One and one-half story: 2nd level finished),general,binary
HouseStyle_15Unf, Style of dwelling (One and one-half story: 2nd level unfinished),general,binary
HouseStyle_1Story, Style of dwelling (One story),general,binary
HouseStyle_25Fin, Style of dwelling (Two and one-half story: 2nd level finished),general,binary
HouseStyle_25Unf, Style of dwelling (Two and one-half story: 2nd level unfinished),general,binary
HouseStyle_2Story, Style of dwelling (Two story),general,binary
HouseStyle_SFoyer, Style of dwelling (Split Foyer),general,binary
HouseStyle_SLvl, Style of dwelling (Split Level),general,binary
RoofStyle_Flat, Type of roof (Flat),general,binary
RoofStyle_Gable, Type of roof (Gable),general,binary
RoofStyle_Gambrel, Type of roof (Gabrel (Barn)),general,binary
RoofStyle_Hip, Type of roof (Hip),general,binary
RoofStyle_Mansard, Type of roof (Mansard),general,binary
RoofStyle_Shed, Type of roof (Shed),general,binary
RoofMatl_CompShg, Roof material (Standard (Composite) Shingle),general,binary
RoofMatl_Membran, Roof material (Membrane),general,binary
RoofMatl_Metal, Roof material (Metal),general,binary
RoofMatl_Roll, Roof material (Roll),general,binary
RoofMatl_Tar&Grv, Roof material (Gravel & Tar),general,binary
RoofMatl_WdShake, Roof material (Wood Shakes),general,binary
RoofMatl_WdShngl, Roof material (Wood Shingles),general,binary
Exterior1st_AsbShng, Exterior covering on house (Asbestos Shingles),general,binary
Exterior1st_AsphShn, Exterior covering on house (Asphalt Shingles),general,binary
Exterior1st_BrkComm, Exterior covering on house (Brick Common),general,binary
Exterior1st_BrkFace, Exterior covering on house (Brick Face),general,binary
Exterior1st_CBlock, Exterior covering on house (Cinder Block),general,binary
Exterior1st_CemntBd, Exterior covering on house (Cement Board),general,binary
Exterior1st_HdBoard, Exterior covering on house (Hard Board),general,binary
Exterior1st_ImStucc, Exterior covering on house (Imitation Stucco),general,binary
Exterior1st_MetalSd, Exterior covering on house (Metal Siding),general,binary
Exterior1st_Plywood, Exterior covering on house (Plywood),general,binary
