name,importance
LotFrontage,7.26E-05
LotArea,0.001186222
Street,6.93E-05
LotShape,5.57E-06
Utilities,0.000153224
LandSlope,-1.43E-06
OverallQual,0.006312707
OverallCond,0.00302577
YearBuilt,0.00595277
YearRemodAdd,0.000517323
MasVnrArea,4.19E-05
ExterQual,-3.90E-06
ExterCond,1.53E-05
BsmtQual,0.00032149
BsmtExposure,0.000207116
BsmtFinType1,7.16E-05
BsmtFinSF1,0.001636927
BsmtFinType2,6.03E-06
BsmtFinSF2,9.09E-05
BsmtUnfSF,1.80E-06
TotalBsmtSF,0.002171372
HeatingQC,0.00043604
1stFlrSF,0.004168368
2ndFlrSF,0.003358739
LowQualFinSF,0.000108516
GrLivArea,0.010050913
BsmtFullBath,0.000314275
BsmtHalfBath,1.55E-08
FullBath,0.000502589
HalfBath,0.000343213
BedroomAbvGr,4.27E-05
KitchenAbvGr,0.000106195
KitchenQual,0.00037636
TotRmsAbvGrd,0.000271595
Functional,0.001173413
Fireplaces,7.40E-05
FireplaceQu,7.61E-05
GarageYrBlt,0.00024702
GarageCars,0.000652302
GarageArea,0.000799107
GarageQual,0.002375193
GarageCond,-2.41E-05
PavedDrive,3.30E-05
WoodDeckSF,0.000363752
OpenPorchSF,7.29E-05
EnclosedPorch,8.32E-05
3SsnPorch,5.75E-05
ScreenPorch,0.000379284
PoolArea,5.60E-05
PoolQC,7.52E-05
MiscVal,0.000188961
YrSold,3.39E-05
MSSubClass_SC120,3.65E-06
MSSubClass_SC160,0.000622277
MSSubClass_SC180,2.16E-05
MSSubClass_SC190,0.000301748
MSSubClass_SC20,0.000122371
MSSubClass_SC30,0.000147509
MSSubClass_SC40,6.44E-05
MSSubClass_SC45,0.00227874
MSSubClass_SC50,0.000564683
MSSubClass_SC60,1.23E-06
MSSubClass_SC70,7.98E-05
MSSubClass_SC75,1.74E-05
MSSubClass_SC80,2.02E-05
MSSubClass_SC85,1.18E-05
MSSubClass_SC90,-3.25E-07
MSZoning_C (all),0.00252509
MSZoning_FV,0.000199129
MSZoning_RH,6.15E-07
MSZoning_RL,0.000150511
MSZoning_RM,0.000135041
Alley_1,-7.39E-06
Alley_2,2.90E-05
Alley_None,1.54E-05
LandContour_Bnk,6.58E-06
LandContour_HLS,-1.81E-06
LandContour_Low,1.23E-05
LandContour_Lvl,3.25E-06
LotConfig_Corner,-1.21E-06
LotConfig_CulDSac,7.18E-05
LotConfig_FR2,1.43E-05
LotConfig_FR3,3.77E-05
LotConfig_Inside,2.64E-05
Neighborhood_Blmngtn,-8.21E-07
Neighborhood_Blueste,3.88E-06
Neighborhood_BrDale,8.51E-08
Neighborhood_BrkSide,1.49E-05
Neighborhood_ClearCr,5.07E-05
Neighborhood_CollgCr,1.66E-05
Neighborhood_Crawfor,0.000722881
Neighborhood_Edwards,0.000225155
Neighborhood_Gilbert,2.00E-06
Neighborhood_IDOTRR,-3.12E-06
Neighborhood_MeadowV,0.000309042
Neighborhood_Mitchel,6.22E-05
Neighborhood_NAmes,0.000156389
Neighborhood_NPkVill,6.12E-07
Neighborhood_NWAmes,0.000122933
Neighborhood_NoRidge,2.38E-05
Neighborhood_NridgHt,0.000494978
Neighborhood_OldTown,5.08E-05
Neighborhood_SWISU,1.58E-06
Neighborhood_Sawyer,2.81E-06
